Sigla,Código,Estado,2004,2023
AL,27,Alagoas,9.27,5.6
BA,29,Bahia,12.08,6.1
CE,23,Ceará,13.5,6.2
MA,21,Maranhão,18.01,8.1
PB,25,Paraíba,15.06,6
PE,26,Pernambuco,10.63,6.5
PI,22,Piauí,10.79,5.4
RN,24,Rio Grande do Norte,13.85,4.9
SE,28,Sergipe,3.75,5.6
