Sigla,Código,Estado,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,
AL,27,Alagoas,63707.712,63721.58,66504.87,65914.886,66293.412,66497.406,67458.732,67921.95,68433.148,68439.946,67958.276,68597.362,67439.268,67831.574,67916.754,67842.598,67031.178,75716.036,77019.852,76392.402,76442.887,76147.73,76091.851,75824.15,75106.551,75093.467,74989.719,73429.639,73451.212,72852.539,72723.451,72184.433,71527.413,70986.709,69641.422,70288.581,68583.884,68368.165,66359.638,66647.733,66540.175,66820.846,75112.105,75221.674,75596.665,75893.787,74654.617,74168.706,73004.203,73710.493,73297.88,72968.014,72639.474,72620.087,70785.55,73685.866,73314.043,74017.593,74713.922,75296.822,75696.82,75232.637,75383.698,73820.875,74836.29,72756.909,77934.724,79395.029,78776.693,79289.447,80138.615,79428.048,78066.841,78679.374,79070.813,78859.015,79614.337,78394.229,77739.56,78107.059,76830.145,77145.611,76039.758,76202.903,75871.404,75773.357,75821.21,78816.679,78883.764,78758.15,79711.072,79662.846,79794.185,79717.415,79690.477,79665.294,79264.819,78425.575,79018.276,79363.241
BA,29,Bahia,257433.917,256704.897,273065.683,271073.091,272967.379,271991.814,274499.264,275608.186,276294.628,276539.326,274645.805,276757.279,273253.302,273987.89,271847.198,272099.692,269058.786,304652.328,311759.679,310182.542,310134.636,309050.118,308615.372,307377.376,304891.965,305324.457,304904.293,301180.624,301329.835,299064.64,300603.235,298643.49,298127.61,297106.694,293133.589,295855.438,297931.381,297263.407,296525.154,297897.496,297670.519,297585.672,335668.581,335502.881,333604.972,334103.675,327726.656,324058.076,322119.965,323958.645,322404.531,320378.121,319332.587,318545.401,309280.321,323699.271,322233.939,325025.931,327196.497,329339.879,330840.098,330715.379,331222.66,324051.402,328027.03,322956.153,342017.32,345017.904,341369.488,344170.302,348061.146,345273.843,338579.562,341627.818,344434.856,342855.374,347421.758,341420.482,339423.39,340304.795,335873.593,336363.64,332058.293,332690.778,331509.144,331286.118,328683.228,344704.296,344888.198,344618.997,348136.766,347957.588,348063.986,347747.736,347670.519,347601.624,345389.404,340076.108,343053.518,344193.94
CE,23,Ceará,157421.496,156865.798,164959.988,163770.275,164741.892,164733.402,166690.942,166872.03,166883.654,167359.662,166173.798,167553.25,165068.326,166136.814,165430.89,164608.076,163148.258,184656.687,187138.477,185206.568,185262.607,184892.833,184667.859,183823.035,182083.648,182247.271,181847.222,177528.303,177358.845,176477.709,176321.661,174576.527,172767.426,175262.728,171350.122,173278.958,170391.273,169888.13,167919.408,168703.465,168239.972,168111.286,189596.67,189197.836,190810.484,191057.925,188057.171,186400.069,181979.134,183749.507,182347.126,181256.782,180559.906,180266.644,174110.96,182031.107,181178.481,182943.545,185146.402,186384.232,187579.449,187409.169,188093.642,185229.811,188007.895,185848.083,197258.554,199163.274,197263.647,199230.152,201736.984,200068.57,196867.247,198188.049,199814.573,199922.783,202105.646,199040.328,198250.97,198303.626,195673.913,196188.894,194196.981,194843.657,193928.986,193636.879,192017.362,204211.535,204358.765,204066.6,206892.853,206770.059,206952.174,206735.232,206662.81,206625.311,205459.232,201657.408,203588.028,204247.575
MA,21,Maranhão,151948.929,153125.675,162156.955,162053.413,163160.748,162973.08,165837.638,167213.62,168014.36,168329.47,167911.58,168810.71,167136.796,167496.296,167255.612,168316.92,166953.952,188448.389,193508.297,191561.482,191916.597,191655.08,191585.728,191177.016,190069.75,190232.794,190178.697,188275.797,188452.433,187716.185,186989.268,185584.344,181550.201,180821.942,179049.394,180221.042,181234.328,181195.802,180859.945,181850.932,181903.084,182188.069,204760.068,204577.068,204877.723,204973.747,202323.67,202413.886,202664.466,204103.87,201979.364,199873.189,199570.757,198760.316,194375.64,201649.815,200585.223,202078.28,203077.292,204102.571,205019.167,204502.494,204527.629,200775.139,202400.411,200368.766,213092.276,214105.338,211866.721,212470.639,213545.085,211014.687,207647.756,208590.121,209645.742,207233.768,210575.117,206635.616,207278.53,206745.437,204422.002,204240.778,201248.934,201890.971,201008.543,200732.972,199645.459,206146.675,206216.291,205881.947,207506.197,207393.041,206259.965,205999.854,205934.658,205909.664,203917.395,201207.298,201723.29,202070.518
PB,25,Paraíba,73386.99,73409.804,78197.736,77582.996,78788.794,78879.98,79715.06,79830.778,80117.716,80496.996,80048.226,81109.498,80398.27,80876.224,81212.31,81440.584,81034.942,91717.523,94616.308,93928.041,94050.392,94003.963,94106.066,93855.476,93396.549,93610.413,93624.074,92611.812,92725.123,92384.689,91831.678,91024.474,89599.073,89081.779,88711.641,89607.489,90823.443,90751.404,91310.285,91695.008,91549.532,91705.356,102564.981,102553.143,102383.024,102505.191,100057.904,99154.103,98888.301,99701.068,99028.377,98437.281,98002.529,97787.54,94912.23,98594.543,97508.842,98550.289,99393.942,100128.071,100698.228,100145.605,100362.233,98601.369,99960.201,97192.897,103585.451,104762.683,104367.939,104716.221,105820.501,105434.411,103714.51,104642.716,105233.141,104535.43,105862.355,104329.144,104066.13,104292.143,103183.796,103499.173,102396.912,102840.67,102480.74,102408.49,101534.224,105285.4,105304.876,105165.669,106035.422,105988.053,105997.094,105913.825,105885.045,105862.543,105263.068,103918.626,104342.112,104615.592
PE,26,Pernambuco,159034.322,158907.142,167048.08,165629.168,167040.726,166411.478,167975.416,169202.202,169960.354,170471.154,169325.42,170804.554,168470.34,168688.036,168008.07,168074.054,166064.468,187679.045,192085.448,190475.002,190674.444,190570.038,190400.493,189802.558,188218.732,188397.871,188252.453,183592.711,183957.269,183451.602,183080.672,181702.565,181108.165,180526.088,177996.247,179455.1,180473.943,180154.299,178800.071,179649.971,179645.81,179698.238,202578.262,202394.064,202222.132,202875.544,199117.437,196698.714,197044.193,198847.549,197644.851,196696.575,195903.157,195069.148,190518.436,198695.753,198182.595,200106.874,202042.829,203359.369,203883.658,202893.982,203475.523,200613.641,202595.02,197902.588,210103.103,211934.036,211074.176,213142.395,216087.64,215310.797,211486.438,213332.106,215088.723,215112.75,217487.996,215281.178,213952.687,214255.766,212045.626,212366.815,210126.867,210476.034,209482.184,209253.519,206934.876,216859.476,216905.668,216769.33,219196.819,219090.38,219307.702,219136.29,219084.656,219038.964,217729.662,214076.718,215033.394,216024.779
PI,22,Piauí,69412.531,70215.418,75390.756,75147.676,75918.828,75812.784,76791.052,76825.944,76822.943,77012.903,76685.592,77227.38,76412.528,76665.102,76125.824,76543.444,75803.244,85598.16,87857.43,86982.996,87169.686,87078.345,86978.978,86840.734,86403.068,86371.233,86317.765,85189.115,85207.533,84859.528,84392.401,83456.127,82328.596,82241.497,81669.88,82155.977,82982.147,82941.289,82873.901,83303.607,83353.004,83430.345,93533.662,93300.614,93005.846,93051.106,90996.455,90178.036,90037.246,90676.532,90223.095,89647.034,89070.477,88879.513,86510.068,89359.444,88976.85,89524.906,89927.42,90456.492,91154.695,90989.12,91365.087,89980.293,90778.798,89478.971,94789.527,95174.494,94238.333,94681.375,95760.245,95067.122,93796.821,94791.492,95519.195,95109.555,96462.096,94994.176,94891.094,94850.147,93852.622,93964.95,93059.538,93293.264,93077.045,93030.608,92225.267,95774.878,95859.507,95737.035,96508.405,96475.071,96444.548,96364.337,96346.053,96331.577,95750.998,94688.247,95306.147,95681.553
RN,24,Rio Grande do Norte,50610.72,50444.944,53301.19,52820.644,53396.33,53220.27,53835.184,53794.164,54085.486,54119.542,53729.486,54384.492,53561.87,53684.982,53706.27,53544.706,52932.84,59924.296,61562.699,60966.054,61140.275,60966.612,60899.034,60645.564,60004.638,59996.964,59905.246,58469.329,58469.136,58223.886,58229.383,57655.644,57778.067,57505.028,56709.933,57246.186,56947.919,56752.838,56289.45,56490.657,56372.895,56305.768,63418.245,63267.936,63158.264,63294.742,62163.475,61174.333,60210.843,60809.457,60247.432,59902.744,59630.56,59415.757,57739.995,60185.46,59668.772,60210.75,60588.207,61069.695,61333.852,61212.185,61414.142,60462.873,61433.173,60378.869,64618.274,65323.436,64984.491,65722.357,66664.93,66237.305,65341.029,66086.131,66421.601,66326.177,67143.107,66086.584,65923.406,65906.733,65075.134,65188.333,64434.084,64609.592,64485.783,64524.865,63783.986,68236.623,68331.556,68226.256,69164.158,69126.242,69207.247,69134.959,69113.952,69097.02,68670.112,67294.644,68134.517,68478.064
SE,28,Sergipe,37691.074,37588.954,39069.678,38687.726,38983.658,39097.512,39548.978,39972.36,40218.304,40375.514,40097.814,40260.614,39712.37,39793.86,39925.464,39860.928,39504.588,44649.107,45991.791,45368.179,45426.019,45282.715,45257.513,45078.319,44600.231,44670.813,44559.272,43494.37,43497.708,43151.066,43106.337,42754.344,41827.703,41639.736,41148.569,41491.218,41440.513,41363.683,41074.091,41242.839,41256.693,41186.21,46218.361,46366.924,46582.088,46639.142,45786.263,45475.08,45135.522,45426.56,45029.938,44788.218,44812.257,44706.248,43534.125,45331.742,45112.856,45515.947,46030.981,46298.43,46456.395,46369.09,46539.267,45842.409,46490.478,45709.415,48646.096,49103.101,48928.285,49372.221,49979.25,49823.65,48884.806,49191.923,49564.496,49508.137,50206.734,49496.217,49207.062,49253.959,48716.835,48747.107,48279.674,48341.887,48053.315,47960.591,47337.924,49012.828,49043.693,48965.764,49550.936,49507.418,49559.269,49493.361,49470.218,49453.409,49121.391,48169.75,48583.834,48759.185
