Sigla,Código,Estado,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ES,32,Espírito Santo,1093697,1130158,1081851,1170805,1263822,1215705,1195248,1116396,1084415,1415621,1089851,963210,788942
MG,31,Minas Gerais,6340519,5882362,5687685,5506745,6272076,6164038,6198635,5791457,5216089,6748812,5816722,4262063,3638589
RJ,33,Rio de Janeiro,4402036,4060278,3738870,3985268,4344318,4317332,4525827,4444227,4512066,5406565,4667986,3681057,3235940
SP,35,São Paulo,8041445,7598247,7196020,8141004,8399966,9454181,9371146,8666430,9350823,11081227,9202571,7818237,6639621
