Indicador,Nordeste,Sudeste,Razão de Disparidade (NE/SE),Diferença % (NE > SE)
"IVS (Índice, 2020)",0.3036666666666667,0.23625,1.285361552028219,28.536155202821888
"Pessoas na Linha da Pobreza (Absoluto, 2020)",27934285.0,20163393.0,1.3853960491669235,38.53960491669235
"Frequência Escolar 18-24 anos (%, 2022)",19.61111111111111,26.625,0.7365675534689619,-26.343244653103813
"Insegurança Alimentar (%, 2023)",6.044444444444444,2.775,2.1781781781781784,117.81781781781784
"Bolsa Família (R$ Total, 2020)",16339464.833999999,8014658.392,2.038697600674981,103.86976006749808
